total_time,silent_pauses,total_syllables,phonation_time,confidence
3.43,0,17,3.43,0
4.11,0,16,4.11,0
1.52,0,8,1.52,-1
2.57,0,10,2.57,0
1.21,0,5,1.21,1
0.32,0,1,0.32,-1
1.9,0,5,1.9,1
0.99,0,2,0.99,0
1.47,0,2,1.372,0
0.78,0,1,0.76,0
0.43,0,1,0.43,0
2.95,0,5,2.95,0
2.58,0,17,2.58,1
3.75,0,16,3.75,0
0.9,0,8,0.9,0
2.81,0,9,2.81,0
1.07,0,2,1.036,0
1.22,0,7,1.22,0
3.38,0,12,3.38,0
3.3,0,12,3.3,0
1.25,0,6,1.25,1
1.19,0,8,1.19,0
0.27,0,1,0.27,1
3.17,0,11,3.17,1
5.3,2,24,3.604,0
1.22,1,4,0.84,0
0.22,0,1,0.22,0
0.32,0,1,0.32,0
0.9,0,6,0.9,1
2.14,0,10,2.062,1
2.03,0,8,1.372,1
2.28,0,12,2.28,1
1.54,0,7,1.54,0
0.66,0,2,0.66,0
0.14,0,1,0.14,1
0.16,0,1,0.16,1
2.55,0,10,2.448,0
1.17,0,7,1.14,1
6.16,3,15,4.096,1
2.4,0,7,2.4,1
0.22,0,1,0.22,0
3.43,0,17,3.43,0
4.11,0,16,4.11,0
1.52,0,8,1.52,-1
2.58,0,17,2.58,1
3.75,0,16,3.75,0
5.24,1,17,4.384,0
1.9,0,5,1.9,1
2.87,1,11,1.862,0
0.32,0,1,0.32,-1
0.71,0,1,0.682,1
0.99,0,2,0.99,0
1.47,0,2,1.372,0
0.78,0,1,0.76,0
0.43,0,1,0.43,0
2.95,0,5,2.95,0
0.9,0,8,0.9,0
2.81,0,9,2.81,0
1.22,0,7,1.22,0
3.38,0,12,3.38,0
3.3,0,12,3.3,0
1.25,0,6,1.25,1
1.07,0,2,1.036,0
1.43,0,9,0.896,1
1.13,1,2,0.452,0
1.77,1,1,0.842,-1
1.19,0,8,1.19,0
3.17,0,11,3.17,1
5.3,2,24,3.604,0
1.18,0,1,0.598,0
1.22,1,4,0.84,0
0.27,0,1,0.27,1
0.22,0,1,0.22,0
0.32,0,1,0.32,0
2.14,0,10,2.062,1
2.03,0,8,1.372,1
2.28,0,12,2.28,1
0.66,0,2,0.66,0
0.14,0,1,0.14,1
2.58,1,12,2.02,-1
0.16,0,1,0.16,1
1.17,0,2,0.722,0
2.55,0,10,2.448,0
6.16,3,15,4.096,1
2.4,0,7,2.4,1
0.22,0,1,0.22,0
1.47,0,9,1.378,1
3.08,1,4,1.696,1
0.62,0,1,0.426,1
1.21,0,2,0.412,0
2.76,1,12,1.798,0
0.46,0,1,0.442,0
2.63,0,9,1.792,0
2.67,2,11,1.41,0
4.02,1,13,3.22,1
0.69,0,1,0.69,0
1.62,0,10,1.59,0
1.42,0,8,1.376,-1
0.43,0,2,0.368,0
0.54,0,2,0.524,0
0.91,0,7,0.91,1
0.8,0,1,0.736,0
3.84,1,10,3.146,1
4.52,1,10,3.056,0
2.48,0,9,1.936,0
3.49,1,16,3.152,1
1.91,1,9,1.526,-1
2.66,1,2,1.226,0
0.12,0,1,0.048,1
6.36,2,16,5.4,0
0.74,0,1,0.728,1
4.72,2,15,3.144,1
1.32,0,7,1.32,1
0.84,0,6,0.84,1
2.17,0,11,1.682,0
5.08,1,22,4.112,0
0.43,0,1,0.42,1
1.24,0,2,0.508,1
0.32,0,1,0.286,1
0.61,0,1,0.594,1
1.7,1,1,1.1,0
1.6,0,7,1.6,-1
1.31,1,4,0.814,-1
1.25,0,2,1.008,-1
4.05,3,7,2.178,1
4.5,1,12,2.858,0
6.52,1,24,4.792,1
6.24,4,13,3.296,-1
4.44,0,16,3.822,0
7.79,1,26,6.928,-1
0.47,0,1,0.384,0
0.75,0,4,0.75,0
1.62,1,4,0.82,0
1.19,0,4,0.66,-1
0.94,0,5,0.832,0
1.91,0,14,1.91,0
8.62,3,24,5.652,0
0.63,0,5,0.604,1
5.73,1,29,5.14,1
1.86,1,3,0.738,0
0.98,0,1,0.51,0
0.63,0,1,0.572,-1
0.68,0,2,0.68,0
2.16,0,5,1.3,0
0.94,0,1,0.4,0
0.5,0,2,0.304,0
0.8,0,1,0.496,0
2.37,0,12,1.952,1
2.71,0,18,2.576,1
2.62,2,2,1.024,1
0.86,0,2,0.272,0
2.64,0,11,2.64,1
3.0,1,12,2.306,-1
1.54,0,5,1.54,-1
1.05,0,3,0.544,0
1.03,0,5,0.994,-1
0.4,0,2,0.4,0
3.38,1,8,2.19,-1
0.52,0,1,0.5,1
0.48,0,1,0.464,1
0.51,0,2,0.492,-1
2.87,0,12,2.676,1
5.43,2,21,3.794,0
0.72,0,2,0.35,1
0.23,0,2,0.184,1
1.66,0,6,1.016,-1
1.88,0,8,1.408,-1
1.74,1,4,1.136,-1
1.37,0,9,1.37,-1
4.88,2,17,3.67,-1
2.99,1,16,2.544,-1
2.97,2,4,1.45,-1
2.38,1,7,1.346,0
1.15,1,2,0.462,-1
6.48,2,21,5.072,1
0.19,0,1,0.112,1
0.67,0,4,0.67,0
1.13,0,6,1.13,0
0.36,0,2,0.36,1
3.06,2,12,2.052,1
0.59,0,1,0.4,1
0.56,0,2,0.496,1
0.13,0,1,0.13,1
1.37,0,9,1.354,1
1.16,0,3,0.822,1
1.64,1,5,0.89,0
0.52,0,1,0.436,1
4.05,0,21,3.6,1
5.27,1,20,3.44,0
0.44,0,1,0.44,0
0.44,0,1,0.44,0
3.63,1,16,3.076,0
2.71,0,17,2.71,1
1.22,0,6,0.902,0
1.48,0,8,1.312,0
0.65,0,1,0.608,-1
0.58,0,1,0.516,-1
2.61,2,3,1.602,0
0.96,0,3,0.96,1
3.26,1,18,2.716,-1
2.08,0,8,1.48,1
0.62,0,2,0.256,1
5.69,1,28,5.262,0
4.35,3,14,2.962,0
0.98,0,5,0.94,0
0.5,0,2,0.5,0
1.54,0,1,0.656,0
5.33,0,23,4.224,1
0.46,0,1,0.436,0
2.03,0,15,1.948,-1
1.27,0,2,0.304,1
